# Time(s)  TotalGoodput(Gbps)  ActiveFlows  JainFairness
2 16.8341 20 0.992312
4 17.5023 20 0.988397
6 10.7353 20 0.783801
8 0.658903 9 0.305031
10 0 0 1
12 0 0 1
14 0 0 1
16 0 0 1
18 0 0 1
20 0 0 1
22 0 0 1
24 0 0 1
26 0 0 1
28 0 0 1
30 0 0 1
32 0 0 1
34 0 0 1
36 0 0 1
38 0 0 1
40 0 0 1
42 0 0 1
44 0 0 1
46 0 0 1
48 0 0 1
50 0 0 1
52 0 0 1
54 0 0 1
56 0 0 1
58 0 0 1
60 0 0 1
62 0 0 1
64 0 0 1
66 0 0 1
68 0 0 1
70 0 0 1
72 0 0 1
74 0 0 1
76 0 0 1
78 0 0 1
80 0 0 1
82 0 0 1
84 0 0 1
86 0 0 1
88 0 0 1
90 0 0 1
92 0 0 1
94 0 0 1
96 0 0 1
98 0 0 1
100 0 0 1
102 0 0 1
104 0 0 1
106 0 0 1
108 0 0 1
110 0 0 1
112 0 0 1
114 0 0 1
116 0 0 1
118 0 0 1
